,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,81.8,82.05,81.665,81.84,9602988,XOM,81.6133
1009,2017-02-10,82.26,82.77,82.13,82.52,8739814,XOM,82.15618
1010,2017-02-13,82.77,83.1837,82.35,83.0,9071638,XOM,82.79889
1011,2017-02-14,82.91,83.1,82.06,82.82,11370525,XOM,83.18796
1012,2017-02-15,82.64,83.18,82.4634,83.16,11768513,XOM,82.92968
1013,2017-02-16,83.12,83.42,82.17,82.3,10614956,XOM,83.33353
1014,2017-02-17,82.09,82.19,81.44,81.76,15645973,XOM,82.390945
1015,2017-02-21,82.12,82.15,81.3,81.89,16419612,XOM,81.93819
1016,2017-02-22,81.65,81.7,80.87,80.93,12917374,XOM,82.15035
1017,2017-02-23,81.42,82.22,81.03,81.78,13847038,XOM,81.08169
1018,2017-02-24,81.6,81.8,80.76,81.08,11338715,XOM,82.10703
1019,2017-02-27,81.13,81.71,80.81,81.54,13465948,XOM,81.2026
1020,2017-02-28,81.53,81.99,81.05,81.32,16834163,XOM,81.77972
1021,2017-03-01,81.7,83.33,81.7,83.02,17482122,XOM,81.46428
1022,2017-03-02,82.8,84.25,82.79,83.3,14170309,XOM,83.31749
1023,2017-03-03,83.56,83.6,82.26,82.46,12304096,XOM,83.38352
1024,2017-03-06,82.44,82.9,82.331,82.83,9617240,XOM,82.485954
1025,2017-03-07,83.11,83.29,82.14,82.52,12711508,XOM,83.03147
1026,2017-03-08,82.35,82.38,81.01,81.03,16817743,XOM,82.674446
1027,2017-03-09,80.64,81.72,80.31,81.67,14721795,XOM,81.12697
1028,2017-03-10,82.44,82.47,81.155,81.61,11355151,XOM,82.014496
1029,2017-03-13,81.5,81.94,81.05,81.42,9571361,XOM,81.82624
1030,2017-03-14,81.0,81.229,80.44,80.99,11335678,XOM,81.60034
1031,2017-03-15,81.35,82.06,81.045,82.0,11970300,XOM,81.14774
1032,2017-03-16,82.03,82.2,81.67,82.07,9923804,XOM,82.282394
1033,2017-03-17,82.03,82.26,81.82,82.0,18834129,XOM,82.19769
1034,2017-03-20,81.72,82.04,81.44,82.0,7700258,XOM,82.11979
1035,2017-03-21,82.16,82.35,81.6,81.83,13387665,XOM,82.146225
1036,2017-03-22,81.96,82.09,81.43,81.76,11168417,XOM,81.97852
1037,2017-03-23,81.63,82.22,81.46,81.86,8927991,XOM,81.93534
1038,2017-03-24,82.03,82.03,81.149,81.23,9128489,XOM,82.05374
1039,2017-03-27,80.82,81.43,80.791,81.25,8481162,XOM,81.3609
1040,2017-03-28,81.32,82.02,80.96,81.84,11028598,XOM,81.46663
1041,2017-03-29,81.69,82.2833,81.547,82.02,8495457,XOM,82.08471
1042,2017-03-30,82.03,83.87,81.935,83.7,44704931,XOM,82.179634
1043,2017-03-31,83.26,83.31,81.86,82.01,21750398,XOM,83.95654
1044,2017-04-03,82.02,82.31,81.35,82.07,11438652,XOM,81.950325
1045,2017-04-04,82.1,82.42,81.33,82.37,9270872,XOM,82.263985
1046,2017-04-05,82.85,83.55,82.47,82.53,13809062,XOM,82.59792
1047,2017-04-06,82.75,83.21,82.46,83.01,9554910,XOM,82.72407
1048,2017-04-07,83.24,83.36,82.68,82.76,8908620,XOM,83.21302
1049,2017-04-10,83.12,83.47,82.92,83.13,8885298,XOM,82.88702
1050,2017-04-11,83.08,83.17,82.42,82.84,8576521,XOM,83.32646
1051,2017-04-12,82.86,83.35,82.7,82.97,9516100,XOM,82.97982
1052,2017-04-13,82.72,82.729,81.57,81.69,8667873,XOM,83.16487
1053,2017-04-17,81.85,81.97,81.435,81.58,9577168,XOM,81.784904
1054,2017-04-18,81.32,81.82,81.03,81.05,8821414,XOM,81.832275
1055,2017-04-19,81.17,81.51,80.3,80.49,10764437,XOM,81.25787
1056,2017-04-20,80.95,81.74,80.7,81.01,11649051,XOM,80.69646
1057,2017-04-21,80.93,81.0,80.47,80.69,9816669,XOM,81.30144
1058,2017-04-24,81.28,81.4,80.81,81.11,8729701,XOM,80.84009
1059,2017-04-25,81.43,81.9301,81.2801,81.73,10733813,XOM,81.31811
1060,2017-04-26,81.52,82.33,81.3901,81.4,9445925,XOM,81.91091
1061,2017-04-27,81.07,81.3,80.94,81.26,12385262,XOM,81.47255
1062,2017-04-28,82.46,82.49,81.56,81.65,12072169,XOM,81.38898
1063,2017-05-01,81.51,82.21,81.48,82.06,8664074,XOM,81.844894
1064,2017-05-02,82.14,82.59,81.9,82.05,9102893,XOM,82.23664
1065,2017-05-03,81.97,83.0699,81.91,82.7,10289047,XOM,82.17919
1066,2017-05-04,82.29,82.36,81.4,81.64,16163852,XOM,82.89456
1067,2017-05-05,81.63,82.235,81.61,82.02,10213004,XOM,81.69048
1068,2017-05-08,82.0,82.94,82.0,82.89,8097077,XOM,82.25905
1069,2017-05-09,82.96,83.0,82.16,82.31,8647093,XOM,83.1409
1070,2017-05-10,82.12,82.37,81.65,81.91,9520322,XOM,82.401245
1071,2017-05-11,82.59,82.71,82.1,82.61,10047312,XOM,82.05886
1072,2017-05-12,82.39,82.71,82.25,82.55,7480240,XOM,82.871315
1073,2017-05-15,83.0,83.1829,82.65,82.8,10881472,XOM,82.70622
1074,2017-05-16,82.9,83.23,82.45,82.55,9574192,XOM,82.98219
1075,2017-05-17,82.3,83.04,81.96,81.99,11151066,XOM,82.68874
1076,2017-05-18,81.77,82.15,81.42,81.75,9905799,XOM,82.1303
1077,2017-05-19,82.0,82.09,81.695,81.93,13028511,XOM,81.95046
1078,2017-05-22,82.11,82.33,81.93,82.29,9218736,XOM,82.165825
1079,2017-05-23,82.32,82.885,82.24,82.58,6857205,XOM,82.50749
1080,2017-05-24,82.42,82.54,82.01,82.29,8263795,XOM,82.75597
1081,2017-05-25,82.33,82.71,81.52,81.75,12370873,XOM,82.40817
1082,2017-05-26,81.61,81.8,80.83,81.55,8227074,XOM,81.878815
1083,2017-05-30,81.28,81.34,81.04,81.1,8973580,XOM,81.74402
1084,2017-05-31,80.94,80.95,80.47,80.5,13572313,XOM,81.28098
1085,2017-06-01,80.37,80.9,80.19,80.7,9884090,XOM,80.682144
1086,2017-06-02,80.59,80.68,79.26,79.5,21687305,XOM,80.96079
1087,2017-06-05,79.44,80.39,79.4,80.12,11527068,XOM,79.60623
1088,2017-06-06,80.3,81.32,80.22,81.21,12208648,XOM,80.4323
1089,2017-06-07,81.05,81.4,80.34,80.91,13096541,XOM,81.46928
1090,2017-06-08,80.51,81.08,80.49,80.62,11720670,XOM,80.963715
1091,2017-06-09,81.15,82.14,80.69,82.13,13553887,XOM,80.71197
1092,2017-06-12,82.67,83.69,82.64,82.93,18172938,XOM,82.40147
1093,2017-06-13,82.85,83.27,82.57,82.96,12175524,XOM,83.050415
1094,2017-06-14,82.81,82.82,81.56,82.07,13713956,XOM,83.01429
1095,2017-06-15,81.78,82.4,81.58,82.26,11862610,XOM,82.11049
1096,2017-06-16,82.61,83.54,82.2,83.49,39726069,XOM,82.47386
1097,2017-06-19,83.22,83.45,82.55,82.76,10445743,XOM,83.7801
1098,2017-06-20,82.07,82.466,81.41,82.31,13232586,XOM,82.84021
1099,2017-06-21,82.04,82.63,81.14,81.44,11422346,XOM,82.46315
1100,2017-06-22,81.45,81.58,80.9,81.08,8139916,XOM,81.599976
1101,2017-06-23,80.85,81.69,80.76,81.61,10611159,XOM,81.321396
1102,2017-06-26,81.57,81.75,80.9073,81.24,7718724,XOM,81.91139
1103,2017-06-27,81.45,81.73,81.11,81.11,9221642,XOM,81.39837
1104,2017-06-28,81.41,81.76,81.185,81.53,9189671,XOM,81.28797
1105,2017-06-29,81.37,81.84,80.41,80.7,20525077,XOM,81.74376
1106,2017-06-30,81.08,81.241,80.7,80.73,14000606,XOM,80.781525
1107,2017-07-03,80.79,82.49,80.72,82.1,8422283,XOM,80.93168
1108,2017-07-05,81.68,81.68,80.515,80.85,9830764,XOM,82.39156
1109,2017-07-06,80.86,81.08,80.09,80.12,9822388,XOM,80.84449
1110,2017-07-07,80.2,80.595,79.81,80.22,10777832,XOM,80.24843
1111,2017-07-10,80.0,80.41,79.96,80.16,6338262,XOM,80.469574
1112,2017-07-11,80.33,80.7547,80.0399,80.6,9681117,XOM,80.36592
1113,2017-07-12,81.19,81.515,80.75,80.96,7973953,XOM,80.824196
1114,2017-07-13,80.97,81.09,80.73,80.97,5582349,XOM,81.12673
1115,2017-07-14,81.0,81.41,80.77,81.28,7497160,XOM,81.08426
1116,2017-07-17,81.0,81.43,80.83,80.86,7914701,XOM,81.43054
1117,2017-07-18,81.02,81.08,80.41,80.6,8046119,XOM,80.95066
1118,2017-07-19,80.44,80.87,80.27,80.85,9393178,XOM,80.74918
1119,2017-07-20,80.97,81.49,80.75,80.86,9680965,XOM,81.0627
1120,2017-07-21,80.65,80.84,80.0,80.12,12268605,XOM,81.02965
1121,2017-07-24,80.06,80.22,79.76,79.87,9402997,XOM,80.22747
1122,2017-07-25,80.77,81.05,80.27,80.27,11465272,XOM,80.06551
1123,2017-07-26,80.58,80.9,80.2,80.37,10465120,XOM,80.519485
1124,2017-07-27,80.24,80.88,79.8966,80.83,11149690,XOM,80.54058
1125,2017-07-28,79.65,79.92,78.27,79.6,22800785,XOM,81.01002
1126,2017-07-31,79.83,80.39,79.6,80.04,12820175,XOM,79.61775
1127,2017-08-01,80.16,80.54,79.97,80.17,10421212,XOM,80.29069
1128,2017-08-02,79.9,80.64,79.8,80.6,10410075,XOM,80.34938
1129,2017-08-03,80.34,80.82,80.2999,80.49,10136708,XOM,80.78357
1130,2017-08-04,80.44,80.56,80.05,80.21,8292204,XOM,80.59812
1131,2017-08-07,80.17,80.17,79.86,80.16,7893753,XOM,80.32454
1132,2017-08-08,80.02,80.215,79.83,79.96,9028396,XOM,80.32344
1133,2017-08-09,80.25,80.35,79.78,80.21,8087101,XOM,80.11615
1134,2017-08-10,79.76,79.78,78.91,78.97,12580300,XOM,80.41205
1135,2017-08-11,79.21,79.25,78.2,78.21,10192375,XOM,79.02687
1136,2017-08-14,78.62,78.79,78.12,78.23,8862475,XOM,78.393135
1137,2017-08-15,78.12,78.25,77.68,78.04,10350948,XOM,78.51322
1138,2017-08-16,78.04,78.17,77.31,77.47,9117145,XOM,78.25165
1139,2017-08-17,77.26,77.28,76.21,76.26,13400356,XOM,77.6218
1140,2017-08-18,76.18,77.11,76.05,76.64,14324342,XOM,76.37191
1141,2017-08-21,76.47,76.62,76.08,76.38,10084930,XOM,76.972145
1142,2017-08-22,76.55,77.335,76.53,76.74,9503600,XOM,76.55135
1143,2017-08-23,76.7,77.01,76.47,76.61,7054254,XOM,76.955154
1144,2017-08-24,76.5,76.65,76.2,76.33,8678316,XOM,76.713715
1145,2017-08-25,76.56,77.13,76.43,76.72,6844875,XOM,76.428535
1146,2017-08-28,76.9,76.94,76.26,76.47,8229665,XOM,76.90529
1147,2017-08-29,76.21,76.49,76.08,76.45,7060375,XOM,76.550766
1148,2017-08-30,76.24,76.45,76.06,76.1,8217965,XOM,76.58391
1149,2017-08-31,76.27,76.49,76.05,76.33,15641735,XOM,76.20467
1150,2017-09-01,76.37,76.85,76.32,76.57,7361092,XOM,76.52191
1151,2017-09-05,76.64,77.36,76.61,77.18,12784845,XOM,76.72523
1152,2017-09-06,77.89,79.225,77.58,78.78,18574383,XOM,77.34108
1153,2017-09-07,79.02,79.3299,78.61,79.03,9836447,XOM,78.97387
1154,2017-09-08,79.01,79.04,78.63,78.82,8436033,XOM,78.98839
1155,2017-09-11,79.41,79.42,78.9,79.25,12955773,XOM,78.79341
1156,2017-09-12,79.4,79.69,79.24,79.5,7644403,XOM,79.36032
1157,2017-09-13,79.5,79.77,79.38,79.77,8369659,XOM,79.602715
1158,2017-09-14,79.85,80.23,79.77,80.09,9072627,XOM,79.88909
1159,2017-09-15,80.12,80.21,79.55,80.07,16043707,XOM,80.21918
1160,2017-09-18,79.79,80.14,79.7,80.09,8594362,XOM,80.17171
1161,2017-09-19,80.06,80.39,79.985,80.22,9277072,XOM,80.21944
1162,2017-09-20,80.28,80.66,80.26,80.55,10606860,XOM,80.37193
1163,2017-09-21,80.49,80.53,79.76,79.89,11984170,XOM,80.71629
1164,2017-09-22,79.72,80.3,79.67,79.92,10205789,XOM,79.96169
1165,2017-09-25,80.03,81.0,79.98,80.98,10496637,XOM,80.10422
1166,2017-09-26,80.71,80.995,80.56,80.89,8755080,XOM,81.23822
1167,2017-09-27,80.89,81.45,80.79,81.43,9724511,XOM,80.97084
1168,2017-09-28,81.63,82.45,81.56,82.19,15581727,XOM,81.58119
1169,2017-09-29,81.94,82.055,81.575,81.98,9943991,XOM,82.339264
1170,2017-10-02,81.3,81.819,81.245,81.63,6777857,XOM,82.03671
1171,2017-10-03,81.41,81.97,81.3,81.76,6081997,XOM,81.72677
1172,2017-10-04,81.8,81.87,81.45,81.79,6357088,XOM,81.94259
1173,2017-10-05,81.72,82.24,81.59,82.02,7375872,XOM,81.966156
1174,2017-10-06,81.77,81.89,81.355,81.71,6070620,XOM,82.20981
1175,2017-10-09,81.84,82.18,81.76,82.03,7489884,XOM,81.845634
1176,2017-10-10,82.34,82.735,82.09,82.26,7218534,XOM,82.23418
1177,2017-10-11,82.16,82.74,82.14,82.6,7023706,XOM,82.43553
