,date,open,high,low,close,Adj Close,volume,DATE,Predicted
2,2014-01-06,57.2599983215332,54.04999923706055,54.41999816894531,57.20000076293945,68852600,57.20000076293945,2014-01-06,60.168599955240886
4,2014-01-08,58.40999984741211,57.22999954223633,57.599998474121094,58.22999954223633,56682400,58.22999954223633,2014-01-08,68.81673489252726
7,2014-01-13,58.25,55.380001068115234,57.90999984741211,55.90999984741211,63010900,55.90999984741211,2014-01-13,67.10603399912516
9,2014-01-15,58.56999969482422,57.27000045776367,57.97999954223633,57.599998474121094,33663400,57.599998474121094,2014-01-15,67.0691481590271
12,2014-01-21,58.58000183105469,56.5,56.599998474121094,58.5099983215332,48669200,58.5099983215332,2014-01-21,68.60839568231978
13,2014-01-22,59.310001373291016,57.099998474121094,58.849998474121094,57.5099983215332,61352900,57.5099983215332,2014-01-22,70.14013314565022
17,2014-01-28,55.279998779296875,54.0,54.02000045776367,55.13999938964844,48191200,55.13999938964844,2014-01-28,61.25653408050537
19,2014-01-30,62.5,60.459999084472656,62.119998931884766,61.08000183105469,150178900,61.08000183105469,2014-01-30,74.1002658589681
20,2014-01-31,63.369998931884766,60.16999816894531,60.470001220703125,62.56999969482422,87794600,62.56999969482422,2014-01-31,69.43109832763672
24,2014-02-06,62.779998779296875,61.459999084472656,61.459999084472656,62.15999984741211,42086500,62.15999984741211,2014-02-06,63.02416625976562
25,2014-02-07,64.56999969482422,62.220001220703125,62.27000045776367,64.31999969482422,60704300,64.31999969482422,2014-02-07,75.52623158772786
28,2014-02-12,65.05999755859375,64.05000305175781,64.91999816894531,64.44999694824219,47282100,64.44999694824219,2014-02-12,75.52623158772786
34,2014-02-21,69.95999908447266,68.44999694824219,69.69000244140625,68.58999633789062,70932400,68.58999633789062,2014-02-21,64.75489929199219
36,2014-02-25,71.0,69.44999694824219,70.94999694824219,69.8499984741211,52077000,69.8499984741211,2014-02-25,63.08419906616211
37,2014-02-26,71.22000122070312,68.8499984741211,70.19000244140625,69.26000213623047,55322700,69.26000213623047,2014-02-26,71.70803179423014
43,2014-03-06,71.88999938964844,70.25,71.87999725341797,70.83999633789062,46026500,70.83999633789062,2014-03-06,62.52780002593994
46,2014-03-11,72.58999633789062,69.95999908447266,72.5,70.0999984741211,59408300,70.0999984741211,2014-03-11,61.54759950002035
51,2014-03-18,69.5999984741211,68.30000305175781,68.76000213623047,69.19000244140625,40827000,69.19000244140625,2014-03-18,71.82459847768148
54,2014-03-21,67.91999816894531,66.18000030517578,67.52999877929688,67.23999786376953,59999900,67.23999786376953,2014-03-21,73.05420031229654
58,2014-03-27,61.900001525878906,57.97999954223633,60.5099983215332,60.970001220703125,112650000,60.970001220703125,2014-03-27,70.96283401489258
60,2014-03-31,61.52000045776367,59.869998931884766,60.779998779296875,60.2400016784668,53011000,60.2400016784668,2014-03-31,67.41357748243543
