,Name,MSE,MAPE
0,AAPL,7.420766442622497,2.6100627682009776
1,MSFT,1.4225759323576175,2.6100627682009776
2,AMZN,471.229872251005,2.6100627682009776
3,GOOGL,156.15771549281177,2.6100627682009776
4,BRK.B,22.71249407461579,2.6100627682009776
5,UNH,10.416557951396353,2.6100627682009776
6,TSLA,343.69006822599334,2.6100627682009776
7,GOOG,183.51243447423434,2.6100627682009776
8,XOM,0.572565215530908,2.6100627682009776
9,JNJ,1.4064857361494767,2.6100627682009776
10,JPM,37.23554239440574,2.6100627682009776
11,NVDA,23.69016764208687,2.6100627682009776
12,PG,1.4688911446711992,2.6100627682009776
13,V,10.930296700743405,2.6100627682009776
14,CVX,2.1016558371804814,2.6100627682009776
15,HD,14.437980512675557,2.6100627682009776
16,LLY,2.786935987485037,2.6100627682009776
17,MA,6.348222323838661,2.6100627682009776
18,BAC,0.31085369741079444,2.6100627682009776
19,PFE,0.09283290314438576,2.6100627682009776
20,ABBV,15.492737242890035,2.6100627682009776
21,MRK,1.2507868142693943,2.6100627682009776
22,META,128.9574284544545,2.6100627682009776
23,PEP,3.388365003333952,2.6100627682009776
24,KO,0.14392306868016475,2.6100627682009776
25,COST,14.145278021305149,2.6100627682009776
26,AVGO,46.39628963426715,2.6100627682009776
27,TMO,14.369215019804802,2.6100627682009776
28,MCD,6.789146994337782,2.6100627682009776
29,WMT,1.3756128649949684,2.6100627682009776
30,CSCO,0.36374266841427394,2.6100627682009776
31,ABT,2.042347239517112,2.6100627682009776
32,WFC,0.5264412339575536,2.6100627682009776
33,ACN,1.6323951777994847,2.6100627682009776
34,DHR,0.7901413468376228,2.6100627682009776
35,BMY,0.6892625289001828,2.6100627682009776
36,DIS,1.342346638103238,2.6100627682009776
37,COP,2.8100538062373173,2.6100627682009776
38,LIN,21.43529898876734,2.6100627682009776
39,NEE,9.167924383026705,2.6100627682009776
40,VZ,0.5270968374964948,2.6100627682009776
41,TXN,8.761573663693014,2.6100627682009776
42,AMGN,5.394956645199,2.6100627682009776
43,CRM,1.8259982317258991,2.6100627682009776
44,ADBE,8.713348479547028,2.6100627682009776
45,HON,16.08470002502006,2.6100627682009776
46,PM,11.081110159916625,2.6100627682009776
47,RTX,2.787606957519989,2.6100627682009776
48,CMCSA,0.8418372300935948,2.6100627682009776
49,QCOM,1.5426567333737529,2.6100627682009776
