,Name,MSE,MAPE
0,AAPL,0.29654355657703146,0.37104921482791625
1,AAPL,0.29654355657703146,0.37104921482791625
2,MSFT,0.06613939616387463,0.3711034852469372
3,AMZN,11.662597645624617,0.4045030582849243
4,GOOGL,12.092129441823255,0.36168651672232105
5,BRK.B,0.2217742873276031,0.24116286831759118
6,UNH,0.4797002805190304,0.36216305096058143
7,TSLA,2.5106340752568805e-26,4.105723255745702e-13
8,GOOG,13.28834408609167,0.3778766899256437
9,XOM,0.16565175770958762,0.3452922986043953
10,JNJ,0.1532907761210054,0.2646295728981955
11,JPM,0.12386527124775192,0.39665560194694954
12,NVDA,0.3311060072115399,0.542561110232855
13,PG,0.10550002808588581,0.27350567068995074
14,V,0.12093017720793932,0.3550860035103182
15,CVX,0.2868578868427031,0.38760728790653054
16,HD,0.3438828877241045,0.35964014485868084
17,LLY,0.168499065646477,0.3937776665596237
18,MA,0.266879419086457,0.3684894819504426
19,BAC,0.011607944722646585,0.4566457540294908
20,PFE,0.025623475717535513,0.3550431595845398
21,ABBV,0.17746237489454278,0.4771365896271786
22,MRK,0.07623786471769899,0.35160359107553363
23,META,8.999087060072935e-28,1.6109321117808408e-14
24,PEP,0.1229479282949069,0.2744476795419835
25,KO,0.019367021965652303,0.2518746161368492
26,COST,0.3780504780822167,0.31550790941463264
27,AVGO,1.189533455857261,0.5944470579601413
28,TMO,0.4091260051728025,0.35457137633103075
29,MCD,0.20014458940632524,0.2695597515414589
30,WMT,0.08102257830435697,0.2885692412085016
31,CSCO,0.0184938674835893,0.3834101453056223
32,ABT,0.04229987397696884,0.3575376459928622
33,WFC,0.05105655703319934,0.33478634305985294
34,ACN,0.15670757809454097,0.31923807732332943
35,DHR,0.09075215670831971,0.2688361510557962
36,BMY,0.10320609580235372,0.4219601532423012
37,DIS,0.1484468624138267,0.31281404905179233
38,COP,0.12458729553796821,0.5112206817923615
39,LIN,0.6938630667167063,0.35833817701825776
40,NEE,0.20655987690533717,0.3361598439878025
41,VZ,0.044863149877512845,0.3279136808015133
42,TXN,0.09545852332169798,0.3892009783838019
43,AMGN,0.9110191715219961,0.4860216054959673
44,CRM,0.16974574098382844,0.49729868953641304
45,ADBE,0.2596403550762587,0.39833159834876636
46,HON,0.16062628147308716,0.27999762942084455
47,PM,0.14742133671012306,0.31696725017086025
48,RTX,0.2008711183733984,0.4063129065455656
49,CMCSA,0.023566347897336155,0.374884063564203
50,QCOM,0.10558909011013456,0.39447295125549314
