,date,open,high,low,close,Adj Close,volume,DATE,Predicted
2,2014-01-06,71.64253997802734,70.58527374267578,71.3530502319336,70.98175048828125,4698355.0,57.26846694946289,2014-01-06,75.19885542074839
4,2014-01-08,71.70547485351562,70.83700561523438,71.0761489868164,71.5229721069336,4991685.0,57.70512771606445,2014-01-08,77.83174875895182
7,2014-01-13,71.9635009765625,70.87476348876953,71.27753448486328,70.98804473876953,5179346.0,57.27356719970703,2014-01-13,76.24143884505922
9,2014-01-15,71.91944885253906,70.8307113647461,70.84329986572266,71.78728485107422,3609890.0,57.918392181396484,2014-01-15,68.58411811210995
12,2014-01-21,72.98930358886719,72.03272247314453,72.27186584472656,72.36626434326172,7527411.0,58.3855094909668,2014-01-21,76.71199596350534
13,2014-01-22,74.38640594482422,72.65576171875,73.93958282470703,73.07740783691406,8013009.0,58.95927047729492,2014-01-22,69.53741692860922
14,2014-01-23,72.95154571533203,72.05160522460938,72.42290496826172,72.27186584472656,6493290.0,58.30934524536133,2014-01-23,69.67637691921658
17,2014-01-28,71.69918060302734,71.10761260986328,71.48521423339844,71.6551284790039,5819077.0,57.81174850463867,2014-01-28,72.90385898166232
19,2014-01-30,72.54248046875,71.5229721069336,71.73064422607422,72.17118072509766,5101961.0,58.22812271118164,2014-01-30,73.53555652406482
19,2014-01-30,72.54248046875,71.5229721069336,71.73064422607422,72.17118072509766,5101961.0,58.22812271118164,2014-01-30,73.53555652406482
20,2014-01-31,72.32850646972656,70.7174301147461,71.101318359375,71.75582122802734,5532898.0,57.89299392700195,2014-01-31,73.78225355360242
24,2014-02-06,68.91126251220703,68.03020477294922,68.03020477294922,68.87979888916016,5907425.0,55.5726203918457,2014-02-06,69.47688410441081
25,2014-02-07,69.96224212646484,69.21963500976562,69.24480438232422,69.68533325195312,6328193.0,56.22250747680664,2014-02-07,69.37417700449626
28,2014-02-12,71.02580261230469,70.4656982421875,70.81812286376953,70.97545623779297,4777011.0,57.56404495239258,2014-02-12,75.19885542074839
29,2014-02-13,71.47891998291016,70.28948974609375,70.59786224365234,71.30270385742188,4005710.0,57.8294677734375,2014-02-13,75.13378746795655
34,2014-02-21,73.05223083496094,72.19635009765625,72.55506896972656,72.61170196533203,5815740.0,58.891117095947266,2014-02-21,68.76701805623374
36,2014-02-25,73.42353820800781,72.72498321533203,73.03335571289062,72.93266296386719,4082936.0,59.151424407958984,2014-02-25,69.39244771321614
37,2014-02-26,73.49905395507812,72.75645446777344,72.93266296386719,73.07111358642578,4690092.0,59.26374816894531,2014-02-26,72.63287529839408
43,2014-03-06,74.38640594482422,73.79483795166016,74.3108901977539,74.10950469970703,2839384.0,60.105899810791016,2014-03-06,74.67980543348524
46,2014-03-11,74.14726257324219,72.68722534179688,74.12837982177734,72.77532958984375,5323786.0,59.02383804321289,2014-03-11,70.42146024068197
51,2014-03-18,72.55506896972656,71.95720672607422,72.19005584716797,72.17118072509766,4059736.0,58.53384017944336,2014-03-18,73.53555652406482
51,2014-03-18,72.55506896972656,71.95720672607422,72.19005584716797,72.17118072509766,4059736.0,58.53384017944336,2014-03-18,73.53555652406482
54,2014-03-21,74.0088119506836,72.00125885009766,73.32913970947266,72.1019515991211,16434074.0,58.47770690917969,2014-03-21,70.91904031117757
58,2014-03-27,72.18376159667969,71.30270385742188,71.92573547363281,71.61737060546875,3818685.0,58.08468246459961,2014-03-27,77.67837188296848
60,2014-03-31,73.60604095458984,72.54877471923828,72.67463684082031,73.53052520751953,5728981.0,59.636322021484375,2014-03-31,72.46909093221029
65,2014-04-07,74.67589569091797,73.07111358642578,73.757080078125,73.11516571044922,5551648.0,59.29945373535156,2014-04-07,70.44241895039876
71,2014-04-15,73.05223083496094,71.69918060302734,72.56135559082031,72.90119934082031,4439666.0,59.12589645385742,2014-04-15,79.49810291035972
72,2014-04-16,74.31718444824219,72.94525146484375,73.63121795654297,74.30459594726562,4650050.0,60.264122009277344,2014-04-16,75.14915720621747
74,2014-04-21,74.92762756347656,74.38011169433594,74.68848419189453,74.4493408203125,4266465.0,60.381526947021484,2014-04-21,71.61931615193684
79,2014-04-28,74.49968719482422,73.24732208251953,74.14726257324219,74.07173919677734,5367801.0,60.07526779174805,2014-04-28,74.83661718689449
90,2014-05-13,75.00943756103516,74.68848419189453,74.90245056152344,74.72624206542969,3300512.0,60.606101989746094,2014-05-13,69.4122068532308
95,2014-05-20,72.45437622070312,70.86217498779297,72.26557922363281,71.17684173583984,5960657.0,58.015655517578125,2014-05-20,75.26886642456054
96,2014-05-21,72.3473892211914,71.49150085449219,71.49150085449219,72.27186584472656,5291529.0,58.90822219848633,2014-05-21,69.67637691921658
98,2014-05-23,72.78791809082031,72.32850646972656,72.41032409667969,72.71239471435547,2391604.0,59.267269134521484,2014-05-23,71.99627362569173
99,2014-05-27,73.20956420898438,72.78162384033203,73.05852508544922,72.90748596191406,3159409.0,59.42630386352539,2014-05-27,79.49810291035972
101,2014-05-29,73.41094970703125,72.8697280883789,73.1466293334961,73.22215270996094,3621649.0,59.68278884887695,2014-05-29,75.90560569763184
105,2014-06-04,74.24795532226562,73.51793670654297,74.1976089477539,73.71932220458984,4414878.0,60.088016510009766,2014-06-04,72.36536779639833
108,2014-06-09,75.63876342773438,74.56261444091797,74.8898696899414,75.57583618164062,5048412.0,61.601234436035156,2014-06-09,76.75129049513075
109,2014-06-10,75.41850280761719,74.61296081542969,75.32410430908203,74.9716796875,4163339.0,61.108795166015625,2014-06-10,66.24097626368204
110,2014-06-11,74.69477844238281,74.17243194580078,74.63813781738281,74.4493408203125,3443681.0,60.68305587768555,2014-06-11,71.61931615193684
111,2014-06-12,74.41158294677734,73.35430908203125,74.16614532470703,73.53681945800781,4032088.0,59.93925476074219,2014-06-12,72.82218508402507
113,2014-06-16,73.76337432861328,73.12775421142578,73.33543395996094,73.54940032958984,2875613.0,59.94950485229492,2014-06-16,74.83027318488229
113,2014-06-16,73.76337432861328,73.12775421142578,73.33543395996094,73.54940032958984,2875613.0,59.94950485229492,2014-06-16,74.83027318488229
113,2014-06-16,73.76337432861328,73.12775421142578,73.33543395996094,73.54940032958984,2875613.0,59.94950485229492,2014-06-16,74.83027318488229
115,2014-06-18,73.92699432373047,72.95783233642578,73.68785095214844,73.77596282958984,4602221.0,60.13418197631836,2014-06-18,73.07369561343722
116,2014-06-19,74.09691619873047,73.41724395751953,73.92699432373047,73.99622344970703,3586214.0,60.313716888427734,2014-06-19,80.87629648844401
117,2014-06-20,74.43675231933594,73.90811920166016,74.32976531982422,74.2542495727539,8341773.0,60.52403259277344,2014-06-20,73.98404909515378
118,2014-06-23,74.21649169921875,73.4487075805664,74.12208557128906,73.71302795410156,3338489.0,60.082862854003906,2014-06-23,73.97986939505925
120,2014-06-25,73.21585845947266,72.59912109375,72.77532958984375,73.07740783691406,3920540.0,59.56480407714844,2014-06-25,69.53741692860922
127,2014-07-07,72.87602233886719,72.19005584716797,72.75645446777344,72.43549346923828,6005149.0,59.04155731201172,2014-07-07,64.03111668642238
128,2014-07-08,72.43549346923828,71.7117691040039,72.2152328491211,71.78728485107422,4547559.0,58.51322937011719,2014-07-08,68.58411811210995
133,2014-07-15,73.15921783447266,72.14600372314453,72.47325134277344,72.27186584472656,7132544.0,58.90822219848633,2014-07-15,69.67637691921658
