,Name,MSE,MAPE,Total Profit
0,AAPL,15.283373078113252,1.7887987274208843,-5.635431570073706
1,MSFT,4.281783922219971,1.8239019064789914,-1.7008335067894222
2,AMZN,1884.152704481656,2.5167546082635663,0.8939688360223954
3,GOOGL,975.2221664794191,2.0512756489005426,-2.4223302461523417
4,BRK.B,31.677615063904668,1.724349292676074,-4.352005120188551
5,UNH,70.20224894961915,2.661413658452957,2.9263863107498764
6,TSLA,180.9673418671895,4.581468811256636,-0.7474989040129003
7,GOOG,914.1639385043385,1.9796322912221047,-2.3460178559635096
8,XOM,3.2082019311288694,1.3762574763400168,-5.6643812869715475
9,JNJ,8.469650248812583,1.6323780472468792,-9.640565422860163
10,JPM,6.549224184728178,1.4950697271853397,2.672428199504793
11,NVDA,114.59078529259746,3.2330630596174,7.32969752930876
12,PG,1.8781847943098056,1.238521360687775,-7.547823202157815
13,V,6.636616181600871,1.605345274980291,-0.8600816547168506
14,CVX,11.784203769305996,2.0723197220941594,-9.141265340733298
15,HD,37.773893562236324,2.308357195927227,-0.2718354909793561
16,LLY,4.300985173159296,1.55439897654741,-7.557000239194167
17,MA,14.863954784817272,1.6295402506480647,2.7424598513098317
18,BAC,0.6610994414312009,1.7422360481878385,3.762027948094328
19,PFE,0.9807548843306387,1.797453060594357,0.2982430526808457
20,ABBV,25.23697114715746,3.744837734214855,11.744243125869616
21,MRK,1.548370256279371,1.445675469353337,-4.201250820937275
22,META,38.217750696230304,2.5129296582523213,9.287834934282728
23,PEP,3.9715472910498693,0.9420132460968104,-3.1482839074997173
24,KO,0.793937318415474,1.0907219458360051,-1.65068802251335
25,COST,16.87439863220016,1.3658523814555699,-0.8604620159585465
26,AVGO,48.84730436524734,2.5322811254788813,-5.267734544720952
27,TMO,21.57121788009637,1.6095755335308641,-3.487739356844031
28,MCD,15.448811641615379,1.6417035102469428,-1.040815266995196
29,WMT,4.627209035920372,1.5960121564832743,2.436878121126938
30,CSCO,1.0296616139448138,1.777454303150601,0.47652030269091483
31,ABT,1.9438583422281848,1.6142948622248472,-2.3067145965105738
32,WFC,4.170386234711085,1.5659189113907843,0.7713846839415055
33,ACN,5.844390957065664,0.9427845727746546,-2.081944933110208
34,DHR,3.8144363102361516,1.1184588823620225,-1.1569386312694405
35,BMY,3.59897519503396,1.7674002886034132,-0.8981867066304403
36,DIS,4.810671950305895,1.4797263686097244,-3.3500298616963846
37,COP,1.2312047315916963,1.4481254724920731,-4.569315671622462
38,LIN,26.138839490986726,1.3469996045422075,4.039724186814055
39,NEE,6.134470919395248,1.356816156232748,0.47735611386633536
40,VZ,1.962386300543382,2.0388059188781424,-3.8983285763297317
41,TXN,10.106663507892426,2.017056196286101,-3.739427349804828
42,AMGN,18.306065870049984,1.8073813237484282,-8.507719660536168
43,CRM,4.066990484513741,1.3824963097435228,1.5571943460690818
44,ADBE,16.216141580694682,1.6040546701464395,-0.995780424646
45,HON,10.278482382158051,1.4618615184757067,-2.609983566306255
46,PM,5.566698876897491,1.844830631795028,-5.493008196906885
47,RTX,2.066142074548576,1.1860774028714933,2.5091578152641887
48,CMCSA,0.6848466781889107,1.2692639036444182,-2.767118366842624
49,QCOM,1.817949142087899,1.2314241233133338,-4.467337079890058
