,Name,MSE,MAPE,Total Profit
0,AAPL,15.283373081809918,1.7887987290796679,-5.635431570073706
1,MSFT,4.281783962552207,1.8239019371561815,-1.7008335067894222
2,AMZN,1884.15270494619,2.5167546086089954,0.8939688360223954
3,GOOGL,975.2221664584571,2.051275648838216,-2.4223302461523417
4,BRK.B,31.677614743413884,1.724349287263396,-4.352005120188551
5,UNH,70.20224884815492,2.6614136526735894,2.9263863107498764
6,TSLA,180.96734191263317,4.581468811691671,-0.7474989040129003
7,GOOG,914.1639313699503,1.979632286429095,-2.3460178559635096
8,XOM,3.208201872011299,1.3762574581706633,-5.6643812869715475
9,JNJ,8.469650321126112,1.632378055721173,-9.640565422860163
10,JPM,6.549224390286692,1.4950697449263857,2.672428199504793
11,NVDA,114.59078514713629,3.233063057910494,7.32969752930876
12,PG,1.878184798922252,1.2385213620157207,-7.547823202157815
13,V,6.636616076675497,1.6053452671311301,-0.8600816547168506
14,CVX,11.784203753510681,2.0723197208150985,-9.141265340733298
15,HD,37.77389354649346,2.3083571967862793,-0.2718354909793561
16,LLY,4.300985178264624,1.5543989759558379,-7.557000239194167
17,MA,14.863954882629214,1.6295402551306035,2.7424598513098317
18,BAC,0.6610995222696202,1.7422361231931056,3.762027948094328
19,PFE,0.980754898713348,1.7974530506391817,0.2982430526808457
20,ABBV,25.236971013128095,3.7448377275142897,11.744243125869616
21,MRK,1.5483702741466272,1.445675451266638,-4.201250820937275
22,META,38.21775069207353,2.5129296582568172,9.287834934282728
23,PEP,3.971547267607159,0.9420132527454909,-3.1482839074997173
24,KO,0.7939372991642976,1.0907218396459113,-1.65068802251335
25,COST,16.87439857255873,1.3658523789082586,-0.8604620159585465
26,AVGO,48.84730444595632,2.5322811270807697,-5.267734544720952
27,TMO,21.571217889405997,1.6095755340979858,-3.487739356844031
28,MCD,15.448811707150924,1.641703513789336,-1.040815266995196
29,WMT,4.62720885331137,1.5960121358785857,2.436878121126938
30,CSCO,1.0296616438228379,1.777454314263773,0.47652030269091483
31,ABT,1.9438584128652459,1.6142949079437228,-2.3067145965105738
32,WFC,4.170386283724857,1.5659189351720206,0.7713846839415055
33,ACN,5.844390968687385,0.9427845748468909,-2.081944933110208
34,DHR,3.814436292190484,1.1184588816323753,-1.1569386312694405
35,BMY,3.598975195369906,1.7674003027101113,-0.8981867066304403
36,DIS,4.810672022719551,1.4797263769586821,-3.3500298616963846
37,COP,1.2312047555975385,1.448125491077468,-4.569315671622462
38,LIN,26.138839483372738,1.346999604075809,4.039724186814055
39,NEE,6.134470923807988,1.35681615673464,0.47735611386633536
40,VZ,1.9623862912414545,2.038805910574163,-3.8983285763297317
41,TXN,10.106663851438203,2.0170562316099363,-3.739427349804828
42,AMGN,18.306065877153564,1.8073813240486325,-8.507719660536168
43,CRM,4.066990462797167,1.3824963076237393,1.5571943460690818
44,ADBE,16.216141553215508,1.60405466832885,-0.995780424646
45,HON,10.278482360204718,1.4618615136384314,-2.609983566306255
46,PM,5.5666991187367065,1.8448305576798252,-5.493008196906885
47,RTX,2.066142072354241,1.1860774008103,2.5091578152641887
48,CMCSA,0.684846669632014,1.2692638844227828,-2.767118366842624
49,QCOM,1.8179492116697826,1.231424149525979,-4.467337079890058
